,Title,DietaryNotes,Description,Price,AdditionalNotes,menuItem
BREAKFAST,,,,,,
,Breakfast Favorites,,Our take on classic breakfast fare will get you buzzing!,,,
,Queen City Bee,S,"Breakfast sandwich with goetta, apple, arugula, broken yolk egg and “nectar” sauce on pain au lait, with your choice of side",$11.00,,TRUE
,The Worker Bee ,,"Two eggs any style; your choice of bacon, sausage, goetta or vegan veggie sausages; toast, and a side",$10.75,Try our tofu scramble in place of eggs for a vegan alternative. (V),TRUE
,Ember Avo Toast,N,"A fork and knife breakfast toast with avocado, two over-easy eggs, ember oil, pickled golden raisins, lettuce mix and walnut dukkah on toasted multigrain, with your choice of side",$12.00,,TRUE
,Broakley,,"Breakfast sandwich with thick-cut bacon or sausage patties, lettuce, broken yolk egg, avocado, white cheddar, onion and tomato on pain au lait, with your choice of side",$11.00,,TRUE
,Location Specific,,,,,
,Blue Ash Smash,S,"A breakfast sandwich with scrambled eggs, potatoes, candied bacon, nectar sauce, chimichurri and pickled onions on multigrain bread, with your choice of side $12.00",$12.00,Only available at the Blue Ash Location,TRUE
,CBD Bowl,,"House seasoned chicken sausage, sautéed power greens, mushrooms and garlic herbs served over two scrambled eggs. Topped with avocado and dressed with chimichurri",$12.00,Only  available  at the Downtown location,TRUE
,Scrambles,,"All served with multigrain toast and your choice of side. We start with three, local, free-range eggs and then layer the flavor. They can be ordered as an omelet or scramble. No substitutions, only omissions, please.",,,
,The Avi,GF,"Our most popular with fresh avocado, spinach, mushrooms, tomato, onions and white cheddar",$12.00,,TRUE
,Chorizo,GF,"Spiced chorizo, black beans, bell peppers and white cheddar topped with smoky chipotle salsa and sour cream",$12.00,,TRUE
,Greek Bee,GF,"Egg whites, sautéed chicken, spinach, 
feta, olives and garlic herbs ",$12.00,,TRUE
,"""Bee"" Spoke Scramble",,Choose your own favorite ingredients,$7.95,"Meat: Bacon, sausage, chorizo, chicken, vegan veggie sausage +$2.00 each |
Veggies: Avocado, spinach, seasoned mushrooms, onions, tomato, garlic herbs, black beans, bell peppers +$1.00 each |
Cheese: White cheddar, feta +$1.00 each",TRUE
,Pancakes,,We’ve got two types of pancakes to satisfy any craving — our classic fluffy buttermilk cakes and our gluten-free bee cakes made from bee-pollinated flowers — all served with real Ohio maple syrup.,,,
,Bee Cakes,"GF, N","Delicious gluten-free pancakes made with almond milk, quinoa and buckwheat flour","Single: $4.00 |
Stack of Two: $8.00",,TRUE
,Buttermilk Cakes,,"Fluffy and sweet buttermilk pancakes, made from scratch","Single: $3.50 |
Stack of Two: $7.00",,TRUE
,Perfect Additions ,,"Add blueberries, chocolate chips or bananas",$0.50 per pancake,,TRUE
